ted_id	md5_domain	consensus_level	chopping	nres_domain	num_segments	num_helix_strand_turn	num_helix	num_strand	num_helix_strand	num_turn
AF-Q6P2I7-F1-model_v4_TED01	d188fc92fe9956b1f98a919b16b4061b	med	2-40	39	1	4	39	0	39	0
AF-A0A2R8YEH3-F1-model_v4_TED01	35ee439402316fd60a426d041d554a7b	med	11-305	295	1	20	255	6	261	21
AF-Q9NYW2-F1-model_v4_TED01	1b3b3040d23ea38ee282b6c2bcb0e6dd	med	5-202_238-308	269	2	20	243	0	243	31
AF-Q7Z4M0-F1-model_v4_TED01	151a840ebb8246ef9120f9efe920f608	high	19-33_50-148	114	2	23	18	67	85	40
AF-Q5VST6-F1-model_v4_TED01	c733db839784c558d4cfda994bacb110	med	79-285	207	1	34	95	43	138	64
AF-P42574-F1-model_v4_TED01	cd9050995bb3aa9f42ca5d1eedd10b2d	high	45-168_189-269	205	2	34	81	59	140	51
AF-Q7RTY3-F1-model_v4_TED01	05557cf23d0e5ccdf2d35183d087d7da	med	9-101_227-238	105	2	22	16	44	60	47
AF-Q7RTY3-F1-model_v4_TED02	05557cf23d0e5ccdf2d35183d087d7da	med	115-220	106	1	21	10	50	60	49
AF-Q6PID6-F1-model_v4_TED01	87fc9e46181138b5956c314dadcc82f0	med	42-189	148	1	11	136	0	136	17
AF-Q6P9F5-F1-model_v4_TED01	a12ea33380ff605b5e03749eeaae1b75	med	13-67	55	1	11	21	8	29	23
AF-A6NKD2-F1-model_v4_TED01	3174d51985e3639f79419d8598217518	high	159-288	130	1	25	53	37	90	47
AF-O75821-F1-model_v4_TED01	c9692cbaa44f5808cb0e96685a87e652	high	237-315	79	1	16	22	37	59	30
AF-O75821-F1-model_v4_TED02	c9692cbaa44f5808cb0e96685a87e652	med	18-92	75	1	12	0	32	32	26
AF-Q9NPI5-F1-model_v4_TED01	ad06ec33083d224c11ebe0f10f3103c0	high	3-199	197	1	29	105	31	136	58
AF-Q9BZM5-F1-model_v4_TED01	abbdb3cb8809ba994efdb07d94f7995e	high	32-204	173	1	29	74	64	138	52
AF-Q9BUN8-F1-model_v4_TED01	e80c39371c901669410972e41ba2b50f	high	4-195	192	1	21	160	8	168	24
AF-A1L157-F1-model_v4_TED01	ab63df12971e6813b64e4508d3163b9f	high	121-195	75	1	16	51	0	51	34
AF-A1L157-F1-model_v4_TED02	ab63df12971e6813b64e4508d3163b9f	med	2-119_222-253	150	2	5	145	0	145	3
